Request,Time
0,0.646318
1,0.640644
2,0.638073
3,0.645582
4,0.643995
5,0.646003
6,0.639228
7,0.644600
8,0.639061
9,0.633507
10,0.634658
11,0.635751
12,0.635585
13,0.637683
14,0.633116
15,0.634276
16,0.634373
17,0.642670
18,0.635621
19,0.634671
20,0.633239
21,0.640289
22,0.636330
23,0.630840
24,0.636493
25,0.635560
26,0.632396
27,0.642970
28,0.646126
29,0.636716
30,0.634501
31,0.634807
32,0.635695
33,0.634350
34,0.633014
35,0.632305
36,0.641655
37,0.636696
38,0.638385
39,0.640149
40,0.638763
41,0.638821
42,0.642380
43,0.642999
44,0.635450
45,0.637831
46,0.643419
47,0.638285
48,0.639129
49,0.635723
50,0.640844
51,0.635725
52,0.637902
53,0.630917
54,0.633813
55,0.631991
56,0.632751
57,0.645714
58,0.647903
59,0.650698
60,0.636247
61,0.630579
62,0.633871
63,0.635484
64,0.635964
65,0.666556
66,0.634347
67,0.641608
68,0.635407
69,0.643462
70,0.631973
71,0.630601
72,0.637238
73,0.636857
74,0.633675
75,0.646958
76,0.630587
77,0.631837
78,0.635205
79,0.633131
80,0.638182
81,0.633138
82,0.638118
83,0.639224
84,0.639667
85,0.652327
86,0.639218
87,0.638612
88,0.638621
89,0.634276
90,0.633890
91,0.638514
92,0.631723
93,0.632656
94,0.636092
95,0.634325
96,0.635975
97,0.633047
98,0.645621
99,0.646741
100,0.642756
101,0.642302
102,0.633036
103,0.631772
104,0.631649
105,0.633651
106,0.634076
107,0.633443
108,0.634900
109,0.634856
110,0.633747
111,0.633664
112,0.633749
113,0.642017
114,0.639112
115,0.632884
116,0.635830
117,0.631766
118,0.632660
119,0.630983
120,0.629939
121,0.632564
122,0.632243
123,0.633072
124,0.634186
125,0.632690
126,0.634213
127,0.634626
128,0.632710
129,0.641535
130,0.637248
131,0.642045
132,0.637577
133,0.638155
134,0.630546
135,0.638789
136,0.637440
137,0.633468
138,0.632457
139,0.632387
140,0.632656
141,0.631715
142,0.634982
143,0.633247
144,0.632358
145,0.632147
146,0.635218
147,0.633182
148,0.634097
149,0.634104
150,0.635084
151,0.633150
152,0.634456
153,0.632637
154,0.647516
155,0.649305
156,0.632481
157,0.632499
158,0.634017
159,0.633784
160,0.632068
161,0.657578
162,0.632682
163,0.634515
164,0.634883
165,0.633590
166,0.633319
167,0.633377
168,0.633070
169,0.634014
170,0.632834
171,0.632594
172,0.632970
173,0.638995
174,0.635051
175,0.634265
176,0.636115
177,0.634422
178,0.631265
179,0.641923
180,0.641853
181,0.636139
182,0.647274
183,0.635941
184,0.643316
185,0.633551
186,0.642186
187,0.642381
188,0.654381
189,0.639991
190,0.635270
191,0.634377
192,0.634962
193,0.642290
194,0.645791
195,0.640520
196,0.636488
197,0.634582
198,0.631222
199,0.635252
200,0.632824
201,0.635269
202,0.635690
203,0.635137
204,0.638916
205,0.639496
206,0.644263
207,0.646813
208,0.647743
209,0.635065
210,0.631707
211,0.635460
212,0.634264
213,0.634849
214,0.632258
215,0.632523
216,0.634956
217,0.636005
218,0.632587
219,0.635784
220,0.635875
221,0.633221
222,0.633831
223,0.633282
224,0.648168
225,0.633471
226,0.634705
227,0.630196
228,0.634153
229,0.632271
230,0.634073
231,0.634628
232,0.631357
233,0.642500
234,0.631329
235,0.641062
236,0.644017
237,0.638174
238,0.669599
239,0.637892
240,0.640406
241,0.637503
242,0.633834
243,0.634780
244,0.631632
245,0.645046
246,0.632022
247,0.634584
248,0.633252
249,0.635900
250,0.639011
251,0.633790
252,0.639423
253,0.634068
254,0.634952
255,0.633864
256,0.638821
257,0.637949
258,0.638406
259,0.638141
260,0.633341
261,0.634933
262,0.636051
263,0.636142
264,0.633335
265,0.634374
266,0.635199
267,0.634343
268,0.634861
269,0.635389
270,0.636036
271,0.631951
272,0.633820
273,0.632500
274,0.637039
275,0.637066
276,0.634285
277,0.634321
278,0.634121
279,0.633812
280,0.634602
281,0.635089
282,0.635661
283,0.634767
284,0.632544
285,0.633924
286,0.637178
287,0.635559
288,0.636692
289,0.632946
290,0.635735
291,0.632300
292,0.633072
293,0.635114
294,0.634838
295,0.635822
296,0.635441
297,0.634592
298,0.638718
299,0.632733
300,0.635918
301,0.635063
302,0.634163
303,0.634309
304,0.635698
305,0.635042
306,0.641537
307,0.637048
308,0.636584
309,0.658446
310,0.660809
311,0.666063
312,0.656504
313,0.658584
314,0.656956
315,0.661421
316,0.664150
317,0.663565
318,0.669219
319,0.648510
320,0.634202
321,0.636230
322,0.632199
323,0.633912
324,0.633474
325,0.634310
326,0.630618
327,0.634123
328,0.633818
329,0.633860
330,0.634502
331,0.634475
332,0.635137
333,0.634486
334,0.636628
335,0.634113
336,0.633688
337,0.631607
338,0.635676
339,0.632972
340,0.635584
341,0.634292
342,0.634511
343,0.635572
344,0.636705
345,0.633225
346,0.631949
347,0.634165
348,0.636852
349,0.636059
350,0.635970
351,0.637486
352,0.634482
353,0.635168
354,0.633691
355,0.636152
356,0.634291
357,0.632430
358,0.634053
359,0.633276
360,0.635147
361,0.634605
362,0.634441
363,0.633477
364,0.633955
365,0.633799
366,0.635635
367,0.633959
368,0.632814
369,0.637046
370,0.635618
371,0.632708
372,0.635330
373,0.633656
374,0.630888
375,0.634969
376,0.635539
377,0.631610
378,0.633422
379,0.634713
380,0.633445
381,0.635094
382,0.634115
383,0.635914
384,0.634906
385,0.633341
386,0.640753
387,0.635583
388,0.643171
389,0.633216
390,0.633000
391,0.639204
392,0.632509
393,0.633192
394,0.632217
395,0.641917
396,0.638172
397,0.635796
398,0.632320
399,0.643244
400,0.633241
401,0.632666
402,0.634890
403,0.641130
404,0.632183
405,0.632219
406,0.633552
407,0.634693
408,0.633597
409,0.633023
410,0.631990
411,0.632931
412,0.634006
413,0.635093
414,0.644869
415,0.635768
416,0.631883
417,0.635003
418,0.635307
419,0.634654
420,0.633351
421,0.639538
422,0.646724
423,0.630798
424,0.648213
425,0.630774
426,0.634267
427,0.632747
428,0.634460
429,0.633310
430,0.633497
431,0.631858
432,0.633476
433,0.633667
434,0.634126
435,0.635768
436,0.633690
437,0.634905
438,0.633684
439,0.633903
440,0.634829
441,0.633992
442,0.636866
443,1.446011
444,0.798839
445,0.633037
446,1.141208
447,0.966222
448,0.646074
449,0.636424
450,0.642576
451,0.638341
452,0.633795
453,0.640225
454,0.639608
455,0.632788
456,0.633639
457,0.633137
458,0.634364
459,0.639749
460,0.637379
461,0.646249
462,0.637807
463,0.645027
464,0.644166
465,0.641827
466,0.640507
467,0.645943
468,0.633979
469,0.646537
470,0.636520
471,0.632137
472,0.633618
473,0.632970
474,0.644858
475,0.633236
476,0.633818
477,0.632456
478,0.634350
479,0.636732
480,0.633476
481,0.636223
482,0.633755
483,0.644420
484,0.636768
485,0.645897
486,0.646803
487,0.646022
488,0.638988
489,0.634425
490,0.633751
491,0.634590
492,0.669519
493,0.635045
494,0.631860
495,0.639815
496,0.635634
497,0.633459
498,0.633375
499,0.634170
